,1,2,5,10,20,50,100,200,500,1000,2000,5000,10000
2,3746.35,3747.52,3748.7,3754.56,3754.56,3754.56,3754.56,3754.56,4106.55,4693.2,4693.2,5866.5,11733.01
5,1498.31,1499.48,1501.83,1501.83,1501.83,1525.29,1525.29,1642.62,1759.95,2346.6,2346.6,5866.5,11733.01
10,749.74,750.91,750.91,750.91,750.91,762.65,821.31,938.64,1173.3,1173.3,2346.6,5866.5,11733.01
20,375.46,375.46,375.46,375.46,375.46,410.66,469.32,469.32,586.65,1173.3,2346.6,5866.5,11733.01
50,150.18,150.18,152.53,152.53,164.26,176.0,234.66,234.66,586.65,1173.3,2346.6,5866.5,11733.01
100,75.09,75.09,76.26,82.13,93.86,117.33,117.33,234.66,586.65,1173.3,2346.6,5866.5,11733.01
200,37.55,37.55,41.07,46.93,46.93,58.67,117.33,234.66,586.65,1173.3,2346.6,5866.5,11733.01
500,15.25,16.43,17.6,23.47,23.47,58.67,117.33,234.66,586.65,1173.3,2346.6,5866.5,11733.01
1000,8.21,9.39,11.73,11.73,23.47,58.67,117.33,234.66,586.65,1173.3,2346.6,5866.5,11733.01
